pickup_id,avg_weekday_trips,avg_weekend_trips,diff,percent_change,trend_category
36,11.1,34.4,23.2,208.4,週末増加
80,47.9,127.4,79.5,165.9,週末増加
148,1894.6,4932.6,3038,160.4,週末増加
255,112.4,288.5,176.1,156.7,週末増加
204,0,0.1,0,150,週末増加
256,92.4,220,127.6,138.1,週末増加
46,0.4,0.8,0.4,106.2,週末増加
112,47.2,95,47.8,101.2,週末増加
37,25.5,50.2,24.7,96.5,週末増加
4,296.7,574.1,277.4,93.5,週末増加
184,0.3,0.6,0.3,86.7,週末増加
27,0.1,0.3,0.1,85.9,週末増加
190,7,12.6,5.6,79.8,週末増加
176,0.1,0.1,0,78.6,週末増加
173,6.1,10.8,4.7,77.4,週末増加
251,0.2,0.4,0.2,77.3,週末増加
79,4733.4,8243.5,3510.1,74.2,週末増加
195,12.2,20.7,8.4,68.9,週末増加
96,0.6,0.9,0.4,67.2,週末増加
232,263.3,430.3,167,63.4,週末増加
31,1,1.6,0.6,60,週末増加
82,58.3,91.7,33.4,57.3,週末増加
129,92.4,143.8,51.4,55.6,週末増加
114,2486.8,3787.7,1300.9,52.3,週末増加
83,17.7,26.7,9.1,51.3,週末増加
158,1989.1,2945.8,956.7,48.1,週末増加
115,0.3,0.4,0.1,47.9,週末増加
7,267.6,388.2,120.6,45.1,週末増加
144,1948.7,2808.6,859.9,44.1,週末増加
198,6.3,9,2.7,43.5,週末増加
12,88.2,124.2,36.1,40.9,週末増加
156,0.3,0.5,0.1,40.1,週末増加
17,32.4,44.9,12.5,38.5,週末増加
146,172.5,238.8,66.2,38.4,週末増加
225,22.3,30.7,8.4,37.9,週末増加
189,34.9,48.1,13.2,37.8,週末増加
260,99.5,135.6,36.1,36.3,週末増加
111,0.4,0.5,0.1,35.6,週末増加
249,3987.8,5325.9,1338.1,33.6,週末増加
127,18.6,24.6,6,32.3,週末増加
194,14.7,19.3,4.6,31.2,週末増加
49,44.6,58.4,13.8,31,週末増加
168,37.5,48.6,11.1,29.5,週末増加
253,0.6,0.8,0.2,28.2,週末増加
59,0.3,0.4,0.1,27.9,週末増加
93,57.9,73.9,16.1,27.7,週末増加
211,1641.3,2093.9,452.6,27.6,週末増加
120,1.1,1.4,0.3,25,週末増加
157,16.3,20.3,4,24.8,週末増加
222,6.1,7.6,1.5,24.1,週末増加
167,7.2,8.9,1.7,23.9,週末増加
106,22,27.1,5.2,23.5,週末増加
8,2.8,3.5,0.6,22.6,週末増加
181,163.5,199.7,36.2,22.1,週末増加
41,798.5,974.3,175.7,22,週末増加
61,45,54.7,9.7,21.6,週末増加
119,9,10.9,1.9,21.4,週末増加
243,35,42.5,7.5,21.3,週末増加
247,29.8,35.5,5.8,19.4,変化なし
116,242.5,288.7,46.2,19,変化なし
56,34.1,40.3,6.2,18.2,変化なし
60,3.5,4.2,0.6,18.1,変化なし
109,0.1,0.2,0,17.6,変化なし
177,10.3,12,1.8,17.4,変化なし
245,0.2,0.2,0,16.7,変化なし
42,348.1,404.9,56.9,16.3,変化なし
74,824.5,952.8,128.3,15.6,変化なし
145,183.4,209.2,25.8,14,変化なし
228,15.9,18,2.1,13.4,変化なし
85,8.6,9.8,1.1,13,変化なし
226,297.7,336.2,38.5,12.9,変化なし
206,0.5,0.5,0.1,12.9,変化なし
223,107.3,120.5,13.1,12.2,変化なし
50,1915.3,2135.7,220.4,11.5,変化なし
92,11.3,12.6,1.3,11.3,変化なし
97,167.1,185.8,18.7,11.2,変化なし
187,0.1,0.1,0,11.1,変化なし
224,424.1,470.8,46.8,11,変化なし
217,13.4,14.8,1.5,11,変化なし
94,3.1,3.4,0.3,10,変化なし
202,8,8.8,0.8,10,変化なし
179,108.2,119,10.8,10,変化なし
188,29.1,31.9,2.8,9.5,変化なし
68,5296.8,5788.8,491.9,9.3,変化なし
152,212.2,230.9,18.7,8.8,変化なし
45,420.8,456.7,36,8.5,変化なし
47,6.7,7.2,0.6,8.3,変化なし
153,3.7,4,0.3,8.1,変化なし
28,27.9,30,2.2,7.7,変化なし
77,6,6.5,0.5,7.5,変化なし
24,654.7,702.4,47.7,7.3,変化なし
126,4.4,4.7,0.3,7,変化なし
246,3624.4,3875.5,251,6.9,変化なし
44,1,1.1,0.1,6.5,変化なし
235,10.4,11.1,0.6,6,変化なし
90,3853.4,4070.2,216.8,5.6,変化なし
196,20.9,22,1.1,5.3,変化なし
169,7.2,7.6,0.4,5.2,変化なし
48,7055.4,7402.6,347.2,4.9,変化なし
81,5,5.2,0.2,4.6,変化なし
159,17.3,18.1,0.8,4.5,変化なし
209,459.9,479.9,20.1,4.4,変化なし
117,2.3,2.4,0.1,4.1,変化なし
35,15.9,16.4,0.6,3.6,変化なし
172,0.1,0.1,0,3.4,変化なし
212,5.5,5.7,0.2,3.3,変化なし
25,179.6,185.3,5.8,3.2,変化なし
147,4.2,4.3,0.1,2.6,変化なし
151,1960.5,2010.3,49.9,2.5,変化なし
263,4128.6,4186.5,58,1.4,変化なし
58,0.5,0.5,0,1.4,変化なし
70,49.2,49.3,0.1,0.2,変化なし
261,1309.9,1309.3,-0.6,0,変化なし
241,5.4,5.4,0,0,変化なし
69,18.1,18.1,0,-0.2,変化なし
20,3.3,3.3,0,-0.5,変化なし
182,7.7,7.6,-0.1,-1.1,変化なし
239,5878.3,5805,-73.3,-1.2,変化なし
62,14.3,14.1,-0.2,-1.3,変化なし
66,112.1,110.5,-1.6,-1.5,変化なし
240,0.9,0.9,0,-1.5,変化なし
